id,label,codeMove,condBlockExcAdd,condBlockOthersAdd,condBlockRem,condBlockRetAdd,constChange,copyPaste,expArithMod,expLogicExpand,expLogicMod,expLogicReduce,missNullCheckN,missNullCheckP,notClassified,singleLine,unwrapIfElse,unwrapMethod,unwrapTryCatch,wrapsElse,wrapsIf,wrapsIfElse,wrapsLoop,wrapsMethod,wrapsTryCatch,wrongMethodRef,wrongVarRef,formerABSTV,formerAssignConst,formerAssignLHS,formerAssignZero,formerCALLEE,formerCallArgument,formerChanged,formerDEREF,formerFuncArgument,formerGlobalVariable,formerINDEX,formerInsertControlRF,formerInsertGUARDRF,formerInsertStmtRF,formerLocalVariable,formerMemberACCESS,formerMember,formerMODIFIEDSIMILAR,formerMODIFIED,formerNONZeroConst,formerOPADD,formerOPDIV,formerOPEQ,formerOPGE,formerOPGT,formerOPLE,formerOPLT,formerOPMOD,formerOPMUL,formerOPNE,formerOPSUB,formerRemovePARTIALIF,formerRemoveStmt,formerRemoveWHOLEBLOCK,formerRemoveWHOLEIF,formerReplaceCondRF,formerReplaceStmtRF,formerRStmtAssign,formerRStmtCALL,formerRStmtCond,formerRStmtControl,formerSizeLiteral,formerStmtAssign,formerStmtCALL,formerStmtCond,formerStmtControl,formerStmtLabel,formerStmtLoop,formerStringLiteral,formerUOPDEC,formerUOPINC,formerZeroConst,laterABSTV,laterAssignConst,laterAssignLHS,laterAssignZero,laterCALLEE,laterCallArgument,laterChanged,laterDEREF,laterFuncArgument,laterGlobalVariable,laterINDEX,laterInsertControlRF,laterInsertGUARDRF,laterInsertStmtRF,laterLocalVariable,laterMemberACCESS,laterMember,laterMODIFIEDSIMILAR,laterMODIFIED,laterNONZeroConst,laterOPADD,laterOPDIV,laterOPEQ,laterOPGE,laterOPGT,laterOPLE,laterOPLT,laterOPMOD,laterOPMUL,laterOPNE,laterOPSUB,laterRemovePARTIALIF,laterRemoveStmt,laterRemoveWHOLEBLOCK,laterRemoveWHOLEIF,laterReplaceCondRF,laterReplaceStmtRF,laterRStmtAssign,laterRStmtCALL,laterRStmtCond,laterRStmtControl,laterSizeLiteral,laterStmtAssign,laterStmtCALL,laterStmtCond,laterStmtControl,srcABSTV,srcAssignConst,srcAssignLHS,srcAssignZero,srcCALLEE,srcCallArgument,srcChanged,srcDEREF,srcFuncArgument,srcGlobalVariable,srcINDEX,srcInsertControlRF,srcInsertGUARDRF,srcInsertStmtRF,srcLocalVariable,srcMemberACCESS,srcMember,srcMODIFIEDSIMILAR,srcMODIFIED,srcNONZeroConst,srcOPADD,srcOPDIV,srcOPEQ,srcOPGE,srcOPGT,srcOPLE,srcOPLT,srcOPMOD,srcOPMUL,srcOPNE,srcOPSUB,srcRemovePARTIALIF,srcRemoveStmt,srcRemoveWHOLEBLOCK,srcRemoveWHOLEIF,srcReplaceCondRF,srcReplaceStmtRF,srcRStmtAssign,srcRStmtCALL,srcRStmtCond,srcRStmtControl,srcSizeLiteral,srcStmtAssign,srcStmtCALL,srcStmtCond,srcStmtControl,srcStmtLabel,srcStmtLoop,srcStringLiteral,srcUOPDEC,srcUOPINC,srcZeroConst,methodCallWithNullGuard,faultyClassExceptionType_0,methodCallWithTryCatch,typeOfFaultyStmtAfter1_ If,typeOfFaultyStmtAfter2_ ,typeOfFaultyStmtAfter3_ ,typeOfFaultyStmtBefore1_ ,typeOfFaultyStmtBefore2_ ,typeOfFaultyStmtBefore3_ ,typeOfFaultyStmtParent_ For,hasObjectiveMethodCall,hasInvocationsProneException,inSynchronizedMethod,localVarNotAssigned,localVarNotUsed,similarObjectTypeWithNormalGuard,similarObjectTypeWithNullGuard,typeOfFaultyStmt_ LocalVariable,fieldNotAssigned,fieldNotUsed,similarPrimitiveTypeWithNormalGuard,similarPrimitiveTypeWithNullGuard,methodThrowsException,objectUsedInAssignment,primitiveUsedInAssignment,methodCallWithNormalGuard,typeOfFaultyStmtAfter1_ LocalVariable,typeOfFaultyStmtAfter2_ ForEach,typeOfFaultyStmtAfter3_ Return,typeOfFaultyStmtParent_ Method,typeOfFaultyStmt_ If,typeOfFaultyStmtAfter1_ ,typeOfFaultyStmtBefore1_ Assignment,typeOfFaultyStmtParent_ If,typeOfFaultyStmt_ Assignment,typeOfFaultyStmtAfter1_ Break,typeOfFaultyStmtParent_ Case,typeOfFaultyStmtAfter1_ Assignment,typeOfFaultyStmt_ Switch,typeOfFaultyStmtAfter1_ Return,typeOfFaultyStmtBefore2_ LocalVariable,typeOfFaultyStmtAfter2_ LocalVariable,typeOfFaultyStmtAfter3_ While,typeOfFaultyStmtBefore1_ LocalVariable,typeOfFaultyStmtBefore3_ If,typeOfFaultyStmt_ For,typeOfFaultyStmt_ Return,typeOfFaultyStmtAfter2_ If,typeOfFaultyStmtBefore3_ LocalVariable,typeOfFaultyStmt_ While,typeOfFaultyStmtBefore1_ If,typeOfFaultyStmtBefore2_ Assignment,typeOfFaultyStmtBefore3_ Assignment,typeOfFaultyStmtParent_ While,typeOfFaultyStmtAfter3_ If,typeOfFaultyStmt_ Invocation,typeOfFaultyStmtParent_ Class,typeOfFaultyStmt_ Method,typeOfFaultyStmtBefore2_ If,typeOfFaultyStmtBefore2_ For,typeOfFaultyStmtAfter3_ LocalVariable,typeOfFaultyStmtAfter1_ For,typeOfFaultyStmtAfter3_ For,typeOfFaultyStmtBefore2_ Invocation,typeOfFaultyStmtAfter1_ Invocation,typeOfFaultyStmtParent_ Constructor,typeOfFaultyStmtAfter2_ For,typeOfFaultyStmtBefore1_ OperatorAssignment
Lang39b-71-ar-incorrect-generated,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,2,2,2.0,0,0,2,2,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure46b-0-ar-incorrect-generated,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,,,,2.0,2.0,2.0,,0,0,0,0,0,2,0,,0,0,0,0,0.0,0,0,0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-14-ar-incorrect-generated,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,2.0,2.0,1.0,2.0,2.0,,0,0,0,0,0,2,0,,0,0,2,0,0.0,0,1,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-91-ar-incorrect-generated,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,,4.0,4.0,4.0,4.0,4.0,,0,0,0,0,0,0,0,,0,0,0,0,0.0,0,0,0,,,,,,,,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-41-ar-incorrect-generated,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,,6.0,6.0,6.0,6.0,6.0,,0,0,0,0,0,1,0,,0,0,1,0,0.0,0,0,0,,,,,1.0,,,5.0,5.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-40-ar-incorrect-generated,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,,3.0,3.0,3.0,3.0,3.0,,0,0,0,0,0,0,0,,0,0,0,0,0.0,0,0,0,,,,,,,,3.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-177-ar-incorrect-generated,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2.0,2.0,2.0,2.0,2.0,,0,0,0,0,0,2,0,,0,0,2,0,0.0,0,0,0,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-62-ar-incorrect-generated,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,3.0,3.0,3.0,3.0,3.0,,0,0,0,0,0,1,0,,0,0,1,0,0.0,0,0,0,,,,,1.0,,,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-176-ar-incorrect-generated,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,3.0,3.0,3.0,3.0,3.0,,0,0,0,0,0,3,0,,0,0,3,0,0.0,0,0,0,,,,,3.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math50b-158-ar-incorrect-generated,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,5.0,5.0,5.0,5.0,5.0,,0,0,0,0,0,4,0,,0,0,4,0,0.0,0,0,0,,,,,4.0,1.0,,1.0,,4.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
