threshold,IDR,CPR
0.01,0.44,0.61
0.02,0.41,0.65
0.03,0.40,0.69
0.04,0.37,0.70
0.05,0.36,0.71
0.06,0.35,0.74
0.07,0.29,0.75
0.08,0.27,0.75
0.09,0.27,0.76
0.10,0.27,0.76
0.11,0.26,0.77
0.12,0.25,0.77
0.13,0.25,0.78
0.14,0.24,0.78
0.15,0.24,0.79
0.16,0.22,0.79
0.17,0.21,0.79
0.18,0.20,0.79
0.19,0.20,0.79
0.20,0.20,0.80
0.21,0.20,0.81
0.22,0.20,0.81
0.23,0.20,0.81
0.24,0.20,0.81
0.25,0.19,0.82
0.26,0.19,0.82
0.27,0.19,0.82
0.28,0.18,0.82
0.29,0.18,0.82
0.30,0.18,0.82
0.31,0.18,0.83
0.32,0.17,0.83
0.33,0.18,0.83
0.34,0.17,0.84
0.35,0.17,0.83
0.36,0.17,0.84
0.37,0.17,0.84
0.38,0.16,0.84
0.39,0.17,0.84
0.40,0.16,0.84
0.41,0.16,0.85
0.42,0.16,0.85
0.43,0.16,0.85
0.44,0.16,0.85
0.45,0.16,0.85
0.46,0.16,0.85
0.47,0.16,0.85
0.48,0.16,0.85
0.49,0.16,0.86
0.50,0.16,0.86
0.51,0.16,0.85
0.52,0.16,0.86
0.53,0.16,0.86
0.54,0.16,0.86
0.55,0.16,0.85
0.56,0.16,0.86
0.57,0.16,0.85
0.58,0.16,0.85
0.59,0.16,0.86
0.60,0.16,0.86
0.61,0.16,0.86
0.62,0.16,0.85
0.63,0.16,0.86
0.64,0.16,0.86
0.65,0.16,0.86
0.66,0.16,0.85
0.67,0.16,0.85
0.68,0.16,0.86
0.69,0.16,0.86
0.70,0.16,0.86
0.71,0.16,0.86
0.72,0.16,0.86
0.73,0.16,0.86
0.74,0.16,0.86
0.75,0.16,0.86
0.76,0.16,0.86
0.77,0.16,0.86
0.78,0.16,0.86
0.79,0.16,0.86
0.80,0.16,0.86
0.81,0.16,0.86
0.82,0.16,0.86
0.83,0.16,0.86
0.84,0.16,0.86
0.85,0.16,0.86
0.86,0.16,0.86
0.87,0.16,0.86
0.88,0.16,0.86
0.89,0.16,0.86
0.90,0.16,0.86
0.91,0.16,0.86
0.92,0.16,0.87
0.93,0.16,0.86
0.94,0.16,0.86
0.95,0.16,0.86
0.96,0.16,0.86
0.97,0.16,0.86
0.98,0.16,0.86
0.99,0.16,0.86
